Season,circuit_id,constructor_id,driver_id,Laps,Race time,Points,Rank
2010,marina_bay,mclaren,hamilton,35.0,DNF,0.0,NC
2010,marina_bay,hrt,klien,31.0,DNF,0.0,NC
2010,marina_bay,sauber,kobayashi,30.0,DNF,0.0,NC
2010,marina_bay,hrt,bruno_senna,29.0,DNF,0.0,NC
2010,marina_bay,lotus_racing,trulli,27.0,DNF,0.0,NC
2010,marina_bay,force_india,liuzzi,1.0,DNF,0.0,NC
2010,suzuka,renault,vettel,53.0,1:30:27.323,25.0,1
2010,suzuka,renault,webber,53.0,+0.905s,18.0,2
2010,suzuka,ferrari,alonso,53.0,+2.721s,15.0,3
2010,suzuka,mclaren,button,53.0,+13.522s,12.0,4
2010,suzuka,mclaren,hamilton,53.0,+39.595s,10.0,5
2010,suzuka,mercedes,michael_schumacher,53.0,+59.933s,8.0,6
2010,suzuka,sauber,kobayashi,53.0,+64.038s,6.0,7
2010,suzuka,sauber,heidfeld,53.0,+69.648s,4.0,8
2010,suzuka,williams,barrichello,53.0,+70.846s,2.0,9
2010,suzuka,toro_rosso,buemi,53.0,+72.806s,1.0,10
2010,suzuka,toro_rosso,alguersuari,52.0,+1 lap,0.0,11
2010,suzuka,lotus_racing,kovalainen,52.0,+1 lap,0.0,12
2010,suzuka,lotus_racing,trulli,51.0,+2 laps,0.0,13
2010,suzuka,virgin,glock,51.0,+2 laps,0.0,14
2010,suzuka,hrt,bruno_senna,51.0,+2 laps,0.0,15
2010,suzuka,hrt,yamamoto,50.0,+3 laps,0.0,16
2010,suzuka,mercedes,rosberg,47.0,DNF,0.0,17
2010,suzuka,force_india,sutil,44.0,DNF,0.0,NC
2010,suzuka,renault,kubica,2.0,DNF,0.0,NC
2010,suzuka,williams,hulkenberg,0.0,DNF,0.0,NC
2010,suzuka,ferrari,massa,0.0,DNF,0.0,NC
2010,suzuka,renault,petrov,0.0,DNF,0.0,NC
2010,suzuka,force_india,liuzzi,0.0,DNF,0.0,NC
2010,suzuka,virgin,grassi,,DNS,0.0,NC
2010,yeongam,ferrari,alonso,55.0,2:48:20.810,25.0,1
2010,yeongam,mclaren,hamilton,55.0,+14.999s,18.0,2
2010,yeongam,ferrari,massa,55.0,+30.868s,15.0,3
2010,yeongam,mercedes,michael_schumacher,55.0,+39.688s,12.0,4
2010,yeongam,renault,kubica,55.0,+47.734s,10.0,5
2010,yeongam,force_india,liuzzi,55.0,+53.571s,8.0,6
2010,yeongam,williams,barrichello,55.0,+69.257s,6.0,7
2010,yeongam,sauber,kobayashi,55.0,+77.889s,4.0,8
2010,yeongam,sauber,heidfeld,55.0,+80.107s,2.0,9
2010,yeongam,williams,hulkenberg,55.0,+80.851s,1.0,10
2010,yeongam,toro_rosso,alguersuari,55.0,+84.146s,0.0,11
2010,yeongam,mclaren,button,55.0,+89.939s,0.0,12
2010,yeongam,lotus_racing,kovalainen,54.0,+1 lap,0.0,13
2010,yeongam,hrt,bruno_senna,53.0,+2 laps,0.0,14
2010,yeongam,hrt,yamamoto,53.0,+2 laps,0.0,15
2010,yeongam,force_india,sutil,46.0,DNF,0.0,NC
2010,yeongam,renault,vettel,45.0,DNF,0.0,NC
2010,yeongam,renault,petrov,39.0,DNF,0.0,NC
2010,yeongam,virgin,glock,31.0,DNF,0.0,NC
